Loading configuration : configs/config-2.4.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR_DT
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR-DT time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log: FT20-ClienteSR-DT time 657 node 0 SENDING: DATA<50, 657, len: 1000>
log: FT20-ClienteSR-DT time 658 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 658 node 0 SENDING: DATA<43, 658, len: 1000>
log: FT20-ClienteSR-DT time 660 node 0 GOT: ACK<41, 41, 601>
log: FT20-ClienteSR-DT time 660 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 660 node 0 SENDING: DATA<44, 660, len: 1000>
log: FT20-ClienteSR-DT time 661 node 0 SENDING: DATA<51, 661, len: 1000>
log: FT20-ClienteSR-DT time 662 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 662 node 0 SENDING: DATA<45, 662, len: 1000>
log: FT20-ClienteSR-DT time 664 node 0 GOT: ACK<41, 44, 604>
log:    FT20-Server time 664 node 1 GOT: DATA<46, 640, len: 1000>
log:    FT20-Server time 664 node 1 SENDING: ACK<41, 46, 640>
log:    FT20-Server time 672 node 1 GOT: DATA<47, 648, len: 1000>
log:    FT20-Server time 672 node 1 SENDING: ACK<41, 47, 648>
log:    FT20-Server time 676 node 1 GOT: DATA<48, 649, len: 1000>
log:    FT20-Server time 676 node 1 SENDING: ACK<41, 48, 649>
log:    FT20-Server time 680 node 1 GOT: DATA<40, 652, len: 1000>
log:    FT20-Server time 680 node 1 SENDING: ACK<41, -1, 652>
