Loading configuration : configs/config-2.3.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 5357 node 1 SENDING: ACK<60, 60, 5324>
log:    FT20-Server time 5361 node 1 GOT: DATA<62, 5326, len: 1000>
log:    FT20-Server time 5361 node 1 SENDING: ACK<60, 62, 5326>
log: FT20-ClienteSR time 5365 node 0 GOT: ACK<57, 57, 5321>
log:    FT20-Server time 5365 node 1 GOT: DATA<63, 5327, len: 1000>
log:    FT20-Server time 5365 node 1 SENDING: ACK<60, 63, 5327>
log: FT20-ClienteSR time 5369 node 0 GOT: ACK<58, 58, 5322>
log:    FT20-Server time 5369 node 1 GOT: DATA<64, 5328, len: 1000>
log:    FT20-Server time 5369 node 1 SENDING: ACK<60, 64, 5328>
log:    FT20-Server time 5371 node 1 GOT: DATA<65, 5329, len: 645>
log:    FT20-Server time 5371 node 1 SENDING: ACK<60, 65, 5329>
log: FT20-ClienteSR time 5373 node 0 GOT: ACK<59, 59, 5323>
log: FT20-ClienteSR time 5377 node 0 GOT: ACK<60, 60, 5324>
log: FT20-ClienteSR time 5381 node 0 GOT: ACK<60, 62, 5326>
log: FT20-ClienteSR time 5385 node 0 GOT: ACK<60, 63, 5327>
log: FT20-ClienteSR time 5389 node 0 GOT: ACK<60, 64, 5328>
log: FT20-ClienteSR time 5391 node 0 GOT: ACK<60, 65, 5329>
log: FT20-ClienteSR time 6326 node 0 TIMEOUT...
log: FT20-ClienteSR time 6326 node 0 SENDING: DATA<61, 6326, len: 1000>
log:    FT20-Server time 6350 node 1 GOT: DATA<61, 6326, len: 1000>
log:    FT20-Server time 6350 node 1 SENDING: ACK<65, 61, 6326>
log: FT20-ClienteSR time 6370 node 0 GOT: ACK<65, 61, 6326>
log: FT20-ClienteSR time 6370 node 0 SENDING: FIN<66, 6370>
log:    FT20-Server time 6390 node 1 GOT: FIN<66, 6370>

+++++++++++++++++++++++++++++++++++++++++
   FT20-Server STATS

COUNTERS:
Inbound: {FT20_FinPacket=1, FT20_DataPacket=70, bytes=71738, FT20_UploadPacket=1}
Outbound: {bytes=2343, FT20_AckPacket=71}
------------------------------------
RTT/Timeout Stats:
RTT (max/avg/min/#samples) : ?, ?, ?, ?
Timeout (max/avg/min/#samples) : ?, ?, ?, ?
timeout events: 0
------------------------------------
Transfer Rates:
Inbound mean transfer rate: 89.81 Kbit/s
Outbound mean transfer rate: 2.93 Kbit/s
+++++++++++++++++++++++++++++++++++++++++

